text,y_true,y_pred,proba,conf
this is sooooo  or may be just funny ,1,0,0.0008748906386701,0.9991251093613299
.@user my gf used uber without forcing language preferences so you are reading my data and making  #ux choices,1,0,0.0030674846625766,0.9969325153374234
"y'all,  is global. we just may have to lose before folks understand.",1,0,0.0030674846625766,0.9969325153374234
i do ð. my father had a great one and now my brother @user following him and yeah i married to this awesome guâ¦ ,1,0,0.0030674846625766,0.9969325153374234
expes explain the best way to deal with  friends &amp; family.   ,1,0,0.0035714285714285,0.9964285714285716
@user @user scary that it's not that long ago! ,1,0,0.0035714285714285,0.9964285714285716
"@user seriously  lede. come on, @user you can do better. ",1,0,0.0173228346456692,0.9826771653543308
"also #keyboard is  when i type ""cause coopting terrorists"" reg syria it autocorrects to ""cause colored terrorists""",1,0,0.0173228346456692,0.9826771653543308
@user i thought she had 72 assistants. #gladshesgone  #nohope,1,0,0.0173228346456692,0.9826771653543308
wen will south choose dark south heroines. kajal tamanna amy wtf??    ,1,0,0.0173228346456692,0.9826771653543308
how  was first officially codified in 15th-century #spain ,1,0,0.0173228346456692,0.9826771653543308
@user @user more americans hate him  ,1,0,0.0173228346456692,0.9826771653543308
@user there's never any room for  in a school board. ever. kids at these schools are 100% of our future.,1,0,0.0173228346456692,0.9826771653543308
done.. good idea... repoed you for abusive content as a  troll @user @user,1,0,0.0173228346456692,0.9826771653543308
@user @user @user    #smileyong along with #kingconrad @user make me go through hell @user   ð¡ðâ¦ ,1,0,0.0173228346456692,0.9826771653543308
"@user pastor maimane won't respond to that,zille is his boss and she literally made him.he will kiss his job goodbye shouâ¦ ",1,0,0.0173228346456692,0.9826771653543308
i'm trying so hard to make your handwritten indirect pretty and you tweet shit like this. shut up ,1,0,0.0208333333333333,0.9791666666666667
@user @user @user @user @user #fakenews and a .  must feel good.,1,0,0.0208333333333333,0.9791666666666667
"2016 is almost over, so ... #bunch #darkest #moviefone #postholiday  #nowthattheholidaysaredone #news ",1,0,0.0208333333333333,0.9791666666666667
"based on recent commercials from state farm and old navy, omarosa's choice is clearly . ",1,0,0.0208333333333333,0.9791666666666667
 is a very profitable thing im #america ,1,0,0.0208333333333333,0.9791666666666667
@user @user @user @user where's the ? you need to reappraise your victimhood.,1,0,0.0664451827242525,0.9335548172757475
"@user @user you have no balls, lumpy. my girl was spot on. lumpy tony says i am a . prove it lumpy. bwahahahahaha",1,0,0.0664451827242525,0.9335548172757475
"@user icymi yesterday -  this is what one peh venue offers for nye enteainment #rapeculture    #vaw    ""some... htâ¦",1,0,0.0664451827242525,0.9335548172757475
@user prison officers goaded #muslim inmates until they needed to be restrained as pa of a  game ,1,0,0.0664451827242525,0.9335548172757475
innocent but . #80snostalgia i'd love a gollybar said every irish kid ever. ,1,0,0.0664451827242525,0.9335548172757475
just pre-ordered this. it sounds a really great book ,1,0,0.0664451827242525,0.9335548172757475
this is disgusting #grandmother #grandsons   #exist #already ,1,0,0.0664451827242525,0.9335548172757475
#manipur #ndtv #timenow #samachar #zeenews #dordarshan  #genocide  what would be the reaction of the... ,1,0,0.0664451827242525,0.9335548172757475
7 horribly  ads from #2016 that made us cringe ,1,0,0.0664451827242525,0.9335548172757475
@user @user lumpy says i am a . prove it lumpy.,1,0,0.0664451827242525,0.9335548172757475
damn she's bold #kentucky #jcpenny #mexicans #bitchesbelike   ,1,0,0.0664451827242525,0.9335548172757475
just learned that there're men who find breast feeding repulsive. &amp; some of those are fathers! does that makes any sense whatsoever? ,1,0,0.0664451827242525,0.9335548172757475
"meet the wilmington peacekeepers, they walk in beauty. #cnv week of actions #peace #povey  #climateâ¦ ",1,0,0.0664451827242525,0.9335548172757475
@user i am not shopping at @user until they purge all trump products. who do they think canadians are? ,1,0,0.0664451827242525,0.9335548172757475
"lee atwater was caught n tape explains the ""southern strategy"" he was in reagan's cabinet  #13th",1,0,0.0664451827242525,0.9335548172757475
  is defunding aboion and sending you to the #inauguration  ,1,0,0.0664451827242525,0.9335548172757475
#share i never been thoughj experience  &amp; i never looked at caucasians any differently ~ watch this  ,1,0,0.0664451827242525,0.9335548172757475
@user itâs official: hate breeds hate   #prejudice #parenting ,1,0,0.1267605633802817,0.8732394366197183
incredible content! @user @user @user #beforesex  @user @user ,1,0,0.1267605633802817,0.8732394366197183
work out the idea of creating a substantive argument and making a point rather than calling names.â¦ ,1,0,0.1267605633802817,0.8732394366197183
"keep in mind @user is totally not , but all whites are dumb.... ",1,0,0.1267605633802817,0.8732394366197183
"@user #stlouis still needs help. @user thinks he's survived. we need to get him out of office, asap. #fergusonâ¦ ",1,0,0.1267605633802817,0.8732394366197183
"#cpcldr ~ before #elxn42, @user enabled @user mp's to make  statements. great alt-right work, #cpc. #cdnpoli ",1,0,0.1267605633802817,0.8732394366197183
both   &amp; #dumb #pelosi ,1,0,0.1267605633802817,0.8732394366197183
"note for those who call #wn  for opposing the latest @user ad: damn right we are! get that filth off the net, you race-traitors-",1,0,0.1267605633802817,0.8732394366197183
@user never be content to sit back and watch as others' rights are trampled upon. your rights could be next. #iqg  #â¦,1,0,0.1267605633802817,0.8732394366197183
black judge quietly removed from #philandocastile shooting trial with little explanation  #newswithed ,1,0,0.1267605633802817,0.8732394366197183
 so deep @user @user @user need2know. if clintons r eating brown bread drinkdark milkâ¦ ,1,0,0.1267605633802817,0.8732394366197183
#cctv  appeal after horrific   attack in #norrisgreen   ,1,0,0.1267605633802817,0.8732394366197183
